reading_no,timestamp_cst,G1,G2,G3,G4,G5,G6,G7,G8
1,2027-01-14 09:12:00,0,-4,-2,-5,0,189,-2,1
2,2027-01-14 09:15:00,-1,-1,-1,-1,2,185,7,2
3,2027-01-14 09:18:00,0,-1,1,0,-2,184,-1,0
4,2027-01-14 09:21:00,-2,0,-5,2,0,188,-5,4
5,2027-01-14 09:24:00,1,-3,0,-1,2,189,-3,-2
6,2027-01-14 09:27:00,0,-1,0,-2,-2,187,1,0
7,2027-01-14 09:30:00,1,4,2,1,3,187,-1,-2
8,2027-01-14 09:33:00,1,0,-1,-1,2,188,2,-2
9,2027-01-14 09:36:00,-2,-1,-1,-4,0,185,1,-2
10,2027-01-14 09:39:00,2,3,-4,1,-1,187,-4,1
11,2027-01-14 09:42:00,-2,1,-1,-2,-3,192,2,1
12,2027-01-14 09:45:00,3,-3,3,-1,-4,189,2,-6
