channel_id,reading_index,value,units,timestamp
PT-101,1,42.02,psig,2028-09-16T10:20:00
PT-102,1,41.89,psig,2028-09-16T10:20:00
PT-103,1,41.84,psig,2028-09-16T10:20:00
PT-104,1,41.99,psig,2028-09-16T10:20:00
PT-105,1,42.02,psig,2028-09-16T10:20:00
PT-106,1,42.05,psig,2028-09-16T10:20:00
PT-107,1,46.84,psig,2028-09-16T10:20:00
PT-108,1,41.92,psig,2028-09-16T10:20:00
PT-101,2,41.87,psig,2028-09-16T10:20:30
PT-102,2,42.07,psig,2028-09-16T10:20:30
PT-103,2,42.04,psig,2028-09-16T10:20:30
PT-104,2,41.93,psig,2028-09-16T10:20:30
PT-105,2,42.03,psig,2028-09-16T10:20:30
PT-106,2,42.01,psig,2028-09-16T10:20:30
PT-107,2,46.82,psig,2028-09-16T10:20:30
PT-108,2,41.97,psig,2028-09-16T10:20:30
PT-101,3,41.98,psig,2028-09-16T10:21:00
PT-102,3,42.10,psig,2028-09-16T10:21:00
PT-103,3,41.91,psig,2028-09-16T10:21:00
PT-104,3,42.03,psig,2028-09-16T10:21:00
PT-105,3,42.00,psig,2028-09-16T10:21:00
PT-106,3,42.06,psig,2028-09-16T10:21:00
PT-107,3,46.84,psig,2028-09-16T10:21:00
PT-108,3,42.03,psig,2028-09-16T10:21:00
PT-101,4,42.04,psig,2028-09-16T10:21:30
PT-102,4,42.02,psig,2028-09-16T10:21:30
PT-103,4,41.98,psig,2028-09-16T10:21:30
PT-104,4,41.94,psig,2028-09-16T10:21:30
PT-105,4,41.95,psig,2028-09-16T10:21:30
PT-106,4,41.92,psig,2028-09-16T10:21:30
PT-107,4,46.77,psig,2028-09-16T10:21:30
PT-108,4,41.99,psig,2028-09-16T10:21:30
PT-101,5,41.96,psig,2028-09-16T10:22:00
PT-102,5,42.03,psig,2028-09-16T10:22:00
PT-103,5,41.96,psig,2028-09-16T10:22:00
PT-104,5,41.90,psig,2028-09-16T10:22:00
PT-105,5,42.01,psig,2028-09-16T10:22:00
PT-106,5,42.01,psig,2028-09-16T10:22:00
PT-107,5,46.66,psig,2028-09-16T10:22:00
PT-108,5,41.97,psig,2028-09-16T10:22:00
PT-101,6,42.01,psig,2028-09-16T10:22:30
PT-102,6,41.91,psig,2028-09-16T10:22:30
PT-103,6,42.04,psig,2028-09-16T10:22:30
PT-104,6,42.09,psig,2028-09-16T10:22:30
PT-105,6,41.92,psig,2028-09-16T10:22:30
PT-106,6,42.09,psig,2028-09-16T10:22:30
PT-107,6,46.80,psig,2028-09-16T10:22:30
PT-108,6,42.10,psig,2028-09-16T10:22:30
PT-101,7,41.97,psig,2028-09-16T10:23:00
PT-102,7,42.06,psig,2028-09-16T10:23:00
PT-103,7,41.95,psig,2028-09-16T10:23:00
PT-104,7,42.03,psig,2028-09-16T10:23:00
PT-105,7,42.02,psig,2028-09-16T10:23:00
PT-106,7,41.96,psig,2028-09-16T10:23:00
PT-107,7,46.85,psig,2028-09-16T10:23:00
PT-108,7,41.98,psig,2028-09-16T10:23:00
PT-101,8,42.07,psig,2028-09-16T10:23:30
PT-102,8,42.10,psig,2028-09-16T10:23:30
PT-103,8,41.99,psig,2028-09-16T10:23:30
PT-104,8,41.97,psig,2028-09-16T10:23:30
PT-105,8,41.98,psig,2028-09-16T10:23:30
PT-106,8,42.04,psig,2028-09-16T10:23:30
PT-107,8,46.83,psig,2028-09-16T10:23:30
PT-108,8,42.08,psig,2028-09-16T10:23:30
PT-101,9,42.03,psig,2028-09-16T10:24:00
PT-102,9,42.08,psig,2028-09-16T10:24:00
PT-103,9,41.93,psig,2028-09-16T10:24:00
PT-104,9,42.03,psig,2028-09-16T10:24:00
PT-105,9,41.96,psig,2028-09-16T10:24:00
PT-106,9,42.06,psig,2028-09-16T10:24:00
PT-107,9,46.83,psig,2028-09-16T10:24:00
PT-108,9,42.11,psig,2028-09-16T10:24:00
PT-101,10,41.95,psig,2028-09-16T10:24:30
PT-102,10,42.01,psig,2028-09-16T10:24:30
PT-103,10,41.99,psig,2028-09-16T10:24:30
PT-104,10,42.09,psig,2028-09-16T10:24:30
PT-105,10,42.00,psig,2028-09-16T10:24:30
PT-106,10,42.03,psig,2028-09-16T10:24:30
PT-107,10,46.75,psig,2028-09-16T10:24:30
PT-108,10,42.05,psig,2028-09-16T10:24:30
PT-101,11,42.07,psig,2028-09-16T10:25:00
PT-102,11,42.02,psig,2028-09-16T10:25:00
PT-103,11,41.83,psig,2028-09-16T10:25:00
PT-104,11,41.96,psig,2028-09-16T10:25:00
PT-105,11,42.06,psig,2028-09-16T10:25:00
PT-106,11,41.90,psig,2028-09-16T10:25:00
PT-107,11,46.83,psig,2028-09-16T10:25:00
PT-108,11,41.98,psig,2028-09-16T10:25:00
PT-101,12,41.98,psig,2028-09-16T10:25:30
PT-102,12,41.99,psig,2028-09-16T10:25:30
PT-103,12,41.89,psig,2028-09-16T10:25:30
PT-104,12,41.95,psig,2028-09-16T10:25:30
PT-105,12,42.01,psig,2028-09-16T10:25:30
PT-106,12,41.93,psig,2028-09-16T10:25:30
PT-107,12,46.90,psig,2028-09-16T10:25:30
PT-108,12,41.94,psig,2028-09-16T10:25:30
