row_id,timestamp_cst,gauge_id,raw_strain_microstrain,baseline_offset_microstrain,corrected_strain_microstrain,temperature_c,vibration_mm_s,quality_flag
F00001,2027-02-02 00:00,G1,4.3,0,4.3,-5.0,0.22,OK
F00002,2027-02-02 00:00,G2,-0.4,1,-1.4,-5.0,0.21,OK
F00003,2027-02-02 00:00,G3,0.3,-1,1.3,-5.0,0.19,OK
F00004,2027-02-02 00:00,G4,-3.0,0,-3.0,-5.0,0.23,OK
F00005,2027-02-02 00:00,G5,4.9,2,2.9,-5.0,0.16,OK
F00006,2027-02-02 00:00,G6,184.7,187,-2.3,-5.0,0.21,OK
F00007,2027-02-02 00:00,G7,-6.3,-2,-4.3,-5.0,0.20,OK
F00008,2027-02-02 00:00,G8,0.6,0,0.6,-5.0,0.17,OK
F00009,2027-02-02 00:10,G1,-0.7,0,-0.7,-5.2,0.22,OK
F00010,2027-02-02 00:10,G2,0.0,1,-1.0,-5.2,0.22,OK
F00011,2027-02-02 00:10,G3,-1.4,-1,-0.4,-5.2,0.20,OK
F00012,2027-02-02 00:10,G4,0.4,0,0.4,-5.2,0.23,OK
F00013,2027-02-02 00:10,G5,2.2,2,0.2,-5.2,0.22,OK
F00014,2027-02-02 00:10,G6,182.8,187,-4.2,-5.2,0.18,OK
F00015,2027-02-02 00:10,G7,1.6,-2,3.6,-5.2,0.19,OK
F00016,2027-02-02 00:10,G8,1.1,0,1.1,-5.2,0.23,OK
F00017,2027-02-02 00:20,G1,-5.4,0,-5.4,-5.5,0.17,OK
F00018,2027-02-02 00:20,G2,-0.1,1,-1.1,-5.5,0.21,OK
F00019,2027-02-02 00:20,G3,1.4,-1,2.4,-5.5,0.20,OK
F00020,2027-02-02 00:20,G4,-1.5,0,-1.5,-5.5,0.21,OK
F00021,2027-02-02 00:20,G5,-1.6,2,-3.6,-5.5,0.21,OK
F00022,2027-02-02 00:20,G6,190.1,187,3.1,-5.5,0.18,OK
F00023,2027-02-02 00:20,G7,-1.5,-2,0.5,-5.5,0.21,OK
F00024,2027-02-02 00:20,G8,1.8,0,1.8,-5.5,0.18,OK
F00025,2027-02-02 00:30,G1,1.1,0,1.1,-5.7,0.23,OK
F00026,2027-02-02 00:30,G2,-1.3,1,-2.3,-5.7,0.18,OK
F00027,2027-02-02 00:30,G3,-0.3,-1,0.7,-5.7,0.23,OK
F00028,2027-02-02 00:30,G4,-5.6,0,-5.6,-5.7,0.21,OK
F00029,2027-02-02 00:30,G5,-0.6,2,-2.6,-5.7,0.19,OK
F00030,2027-02-02 00:30,G6,189.5,187,2.5,-5.7,0.22,OK
F00031,2027-02-02 00:30,G7,-3.5,-2,-1.5,-5.7,0.20,OK
F00032,2027-02-02 00:30,G8,1.1,0,1.1,-5.7,0.18,OK
F00033,2027-02-02 00:40,G1,-3.8,0,-3.8,-5.9,0.21,OK
F00034,2027-02-02 00:40,G2,-1.7,1,-2.7,-5.9,0.23,OK
F00035,2027-02-02 00:40,G3,-1.3,-1,-0.3,-5.9,0.22,OK
F00036,2027-02-02 00:40,G4,-1.5,0,-1.5,-5.9,0.21,OK
F00037,2027-02-02 00:40,G5,-0.1,2,-2.1,-5.9,0.21,OK
F00038,2027-02-02 00:40,G6,184.2,187,-2.8,-5.9,0.19,OK
F00039,2027-02-02 00:40,G7,-1.1,-2,0.9,-5.9,0.17,OK
F00040,2027-02-02 00:40,G8,-6.4,0,-6.4,-5.9,0.24,OK
F00041,2027-02-02 00:50,G1,-5.6,0,-5.6,-6.2,0.21,OK
F00042,2027-02-02 00:50,G2,-4.4,1,-5.4,-6.2,0.19,OK
F00043,2027-02-02 00:50,G3,-4.8,-1,-3.8,-6.2,0.23,OK
F00044,2027-02-02 00:50,G4,-6.4,0,-6.4,-6.2,0.20,OK
F00045,2027-02-02 00:50,G5,2.4,2,0.4,-6.2,0.21,OK
F00046,2027-02-02 00:50,G6,181.3,187,-5.7,-6.2,0.20,OK
F00047,2027-02-02 00:50,G7,-6.5,-2,-4.5,-6.2,0.21,OK
F00048,2027-02-02 00:50,G8,0.3,0,0.3,-6.2,0.21,OK
F00049,2027-02-02 01:00,G1,-7.0,0,-7.0,-6.4,0.18,OK
F00050,2027-02-02 01:00,G2,-1.0,1,-2.0,-6.4,0.21,OK
F00051,2027-02-02 01:00,G3,-2.5,-1,-1.5,-6.4,0.16,OK
F00052,2027-02-02 01:00,G4,-1.0,0,-1.0,-6.4,0.23,OK
F00053,2027-02-02 01:00,G5,-0.0,2,-2.0,-6.4,0.17,OK
F00054,2027-02-02 01:00,G6,183.3,187,-3.7,-6.4,0.19,OK
F00055,2027-02-02 01:00,G7,-1.9,-2,0.1,-6.4,0.17,OK
F00056,2027-02-02 01:00,G8,-1.1,0,-1.1,-6.4,0.21,OK
