timestamp_cst,date_index,gauge_id,corrected_strain_microstrain,station_temperature_c,temperature_model_prediction_microstrain,temperature_corrected_residual_microstrain
2027-02-01 14:00,0,G4,39.6,-10.8,47.5,-7.9
2027-02-02 14:00,1,G4,69.7,-8.6,73.7,-4.0
2027-02-03 14:00,2,G4,58.9,-8.3,77.2,-18.3
2027-02-04 14:00,3,G4,94.1,-7.8,83.2,10.9
2027-02-05 14:00,4,G4,90.2,-8.5,74.9,15.3
2027-02-06 14:00,5,G4,46.8,-9.6,61.8,-15.0
2027-02-07 14:00,6,G4,60.3,-8.7,72.5,-12.2
2027-02-08 14:00,7,G4,78.3,-9.4,64.1,14.2
2027-02-09 14:00,8,G4,87.7,-8.0,80.8,6.9
2027-02-10 14:00,9,G4,115.0,-5.5,110.6,4.4
2027-02-11 14:00,10,G4,157.5,-3.5,134.4,23.1
2027-02-12 14:00,11,G4,129.7,-0.6,168.9,-39.2
2027-02-13 14:00,12,G4,155.1,-2.3,148.6,6.5
2027-02-14 14:00,13,G4,166.3,-0.7,167.7,-1.4
2027-02-15 14:00,14,G4,161.0,-3.8,130.8,30.2
2027-02-16 14:00,15,G4,120.4,-2.1,151.0,-30.6
2027-02-17 14:00,16,G4,134.6,-2.7,143.9,-9.3
2027-02-18 14:00,17,G4,164.0,-1.5,158.2,5.8
2027-02-19 14:00,18,G4,202.5,1.2,190.3,12.2
2027-02-20 14:00,19,G4,218.0,3.4,216.5,1.5
2027-02-21 14:00,20,G4,229.0,4.9,234.3,-5.3
2027-02-22 14:00,21,G4,245.6,5.8,245.0,0.6
2027-02-23 14:00,22,G4,207.6,3.9,222.4,-14.8
2027-02-24 14:00,23,G4,206.4,2.6,207.0,-0.6
2027-02-25 14:00,24,G4,236.2,2.8,209.3,26.9
