timestamp_cst,gauge_id,corrected_strain_microstrain,sensor_temperature_c,quality_flag
2027-02-01 14:00,G4,39.6,-11.1,OK
2027-02-02 14:00,G4,69.7,-9.2,OK
2027-02-03 14:00,G4,58.9,-8.6,OK
2027-02-04 14:00,G4,94.1,-8.4,OK
2027-02-05 14:00,G4,90.2,-8.5,OK
2027-02-06 14:00,G4,46.8,-9.6,OK
2027-02-07 14:00,G4,60.3,-9.0,OK
2027-02-08 14:00,G4,78.3,-9.1,OK
2027-02-09 14:00,G4,87.7,-7.5,OK
2027-02-10 14:00,G4,115.0,-5.8,OK
2027-02-11 14:00,G4,157.5,-3.0,OK
2027-02-12 14:00,G4,129.7,-1.2,OK
2027-02-13 14:00,G4,155.1,-1.8,OK
2027-02-14 14:00,G4,166.3,-1.2,OK
2027-02-15 14:00,G4,161.0,-3.2,OK
2027-02-16 14:00,G4,120.4,-2.7,OK
2027-02-17 14:00,G4,134.6,-3.2,OK
2027-02-18 14:00,G4,164.0,-1.2,OK
2027-02-19 14:00,G4,202.5,0.6,OK
2027-02-20 14:00,G4,218.0,3.7,OK
2027-02-21 14:00,G4,229.0,4.3,OK
2027-02-22 14:00,G4,245.6,5.5,OK
2027-02-23 14:00,G4,207.6,3.5,OK
2027-02-24 14:00,G4,206.4,2.7,OK
2027-02-25 14:00,G4,236.2,2.4,OK
