draw_id,sample_size,sample_unit_ids,sample_mean_psi,sample_sd_psi
D01,8,SIM-063|SIM-023|SIM-194|SIM-037|SIM-169|SIM-104|SIM-146|SIM-170,4971.2,823.3
D02,8,SIM-037|SIM-024|SIM-048|SIM-030|SIM-133|SIM-196|SIM-018|SIM-004,4867.5,649.3
D03,8,SIM-200|SIM-106|SIM-029|SIM-189|SIM-016|SIM-186|SIM-148|SIM-167,4897.5,630.3
D04,8,SIM-051|SIM-163|SIM-057|SIM-063|SIM-005|SIM-157|SIM-160|SIM-183,4607.5,397.4
D05,8,SIM-123|SIM-119|SIM-193|SIM-013|SIM-070|SIM-084|SIM-133|SIM-006,4841.2,537.2
D06,8,SIM-197|SIM-067|SIM-074|SIM-096|SIM-038|SIM-032|SIM-198|SIM-162,5107.5,543.4
D07,8,SIM-136|SIM-108|SIM-095|SIM-113|SIM-071|SIM-169|SIM-034|SIM-160,4913.8,546.2
D08,8,SIM-065|SIM-118|SIM-133|SIM-148|SIM-066|SIM-143|SIM-004|SIM-049,4657.5,405.2
D09,8,SIM-169|SIM-170|SIM-071|SIM-005|SIM-037|SIM-058|SIM-181|SIM-041,4711.2,790.5
D10,8,SIM-034|SIM-168|SIM-018|SIM-100|SIM-020|SIM-016|SIM-157|SIM-177,4607.5,392.2
D11,8,SIM-194|SIM-025|SIM-192|SIM-141|SIM-004|SIM-189|SIM-088|SIM-052,4995.0,286.1
D12,8,SIM-084|SIM-056|SIM-105|SIM-146|SIM-163|SIM-027|SIM-130|SIM-092,4648.8,627.6
