unit_id,zone,strength_psi,instructional_status
SIM-001,west shoulder,5140,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-002,east shoulder,4600,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-003,west lane,6240,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-004,east lane,4870,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-005,centerline,4750,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-006,west shoulder,4210,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-007,east shoulder,4960,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-008,west lane,5170,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-009,east lane,5500,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-010,centerline,4900,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-011,west shoulder,3770,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-012,east shoulder,5460,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-013,west lane,5130,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-014,east lane,6350,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-015,centerline,5410,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-016,west shoulder,4010,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-017,east shoulder,4680,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-018,west lane,5250,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-019,east lane,5180,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-020,centerline,4550,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-021,west shoulder,4680,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-022,east shoulder,5190,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-023,west lane,5580,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-024,east lane,4770,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-025,centerline,4700,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-026,west shoulder,4790,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-027,east shoulder,4910,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-028,west lane,4670,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-029,east lane,5840,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-030,centerline,3730,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-031,west shoulder,5490,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-032,east shoulder,4300,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-033,west lane,4360,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-034,east lane,4950,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-035,centerline,4550,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
