core_id,station_ft,side,drill_zone,strength_psi
C-01,18,west,shoulder,3820
C-02,42,west,shoulder,4050
C-03,66,west,shoulder,4200
C-04,90,west,shoulder,4380
C-05,114,west,shoulder,4470
C-06,138,west,shoulder,4650
C-07,162,west,shoulder,4720
C-08,186,west,shoulder,4800
C-09,210,west,shoulder,4860
C-10,234,west,shoulder,4910
C-11,258,west,shoulder,4960
C-12,282,west,shoulder,5010
C-13,18,east,shoulder,5060
C-14,42,east,shoulder,5120
C-15,66,east,shoulder,5180
C-16,90,east,shoulder,5230
C-17,114,east,shoulder,5290
C-18,138,east,shoulder,5360
C-19,162,east,shoulder,5430
C-20,186,east,shoulder,5510
C-21,210,east,shoulder,5600
C-22,234,east,shoulder,5700
C-23,258,east,shoulder,5820
C-24,282,east,shoulder,5960
