location_id,test_year,truck_pass,analysis_strain_microstrain,reference_load_kips,lane_offset_ft,speed_mph,temperature_corrected,quality_flag
G1,2019,1,90.8,80.0,0.0,5.0,YES,OK
G1,2019,2,92.3,80.0,0.0,5.0,YES,OK
G1,2019,3,92.9,80.0,0.0,5.0,YES,OK
G1,2027,1,85.8,80.0,0.0,5.0,YES,OK
G1,2027,2,87.3,80.0,0.0,5.0,YES,OK
G1,2027,3,87.9,80.0,0.0,5.0,YES,OK
G2,2019,1,95.2,80.0,0.0,5.0,YES,OK
G2,2019,2,95.9,80.0,0.0,5.0,YES,OK
G2,2019,3,96.9,80.0,0.0,5.0,YES,OK
G2,2027,1,95.2,80.0,0.0,5.0,YES,OK
G2,2027,2,95.9,80.0,0.0,5.0,YES,OK
G2,2027,3,96.9,80.0,0.0,5.0,YES,OK
G3,2019,1,98.3,80.0,0.0,5.0,YES,OK
G3,2019,2,99.2,80.0,0.0,5.0,YES,OK
G3,2019,3,99.5,80.0,0.0,5.0,YES,OK
G3,2027,1,100.3,80.0,0.0,5.0,YES,OK
G3,2027,2,101.2,80.0,0.0,5.0,YES,OK
G3,2027,3,101.5,80.0,0.0,5.0,YES,OK
G4,2019,1,100.0,80.0,0.0,5.0,YES,OK
G4,2019,2,101.4,80.0,0.0,5.0,YES,OK
G4,2019,3,101.6,80.0,0.0,5.0,YES,OK
G4,2027,1,106.0,80.0,0.0,5.0,YES,OK
G4,2027,2,107.4,80.0,0.0,5.0,YES,OK
G4,2027,3,107.6,80.0,0.0,5.0,YES,OK
G5,2019,1,102.1,80.0,0.0,5.0,YES,OK
G5,2019,2,103.1,80.0,0.0,5.0,YES,OK
G5,2019,3,103.8,80.0,0.0,5.0,YES,OK
G5,2027,1,109.1,80.0,0.0,5.0,YES,OK
G5,2027,2,110.1,80.0,0.0,5.0,YES,OK
G5,2027,3,110.8,80.0,0.0,5.0,YES,OK
G6,2019,1,102.9,80.0,0.0,5.0,YES,OK
G6,2019,2,104.2,80.0,0.0,5.0,YES,OK
G6,2019,3,104.9,80.0,0.0,5.0,YES,OK
G6,2027,1,112.9,80.0,0.0,5.0,YES,OK
G6,2027,2,114.2,80.0,0.0,5.0,YES,OK
G6,2027,3,114.9,80.0,0.0,5.0,YES,OK
G7,2019,1,101.4,80.0,0.0,5.0,YES,OK
G7,2019,2,101.8,80.0,0.0,5.0,YES,OK
G7,2019,3,102.8,80.0,0.0,5.0,YES,OK
G7,2027,1,113.4,80.0,0.0,5.0,YES,OK
G7,2027,2,113.8,80.0,0.0,5.0,YES,OK
G7,2027,3,114.8,80.0,0.0,5.0,YES,OK
G8,2019,1,101.7,80.0,0.0,5.0,YES,OK
G8,2019,2,103.5,80.0,0.0,5.0,YES,OK
G8,2019,3,103.8,80.0,0.0,5.0,YES,OK
G8,2027,1,117.7,80.0,0.0,5.0,YES,OK
G8,2027,2,119.5,80.0,0.0,5.0,YES,OK
G8,2027,3,119.8,80.0,0.0,5.0,YES,OK
