record_id,timestamp_cst,raw_strain_microstrain,air_temperature_f,source_lateral_offset,parsed_offset,schema_unit,thermal_adjustment_microstrain,alignment_adjustment_microstrain,model_input_microstrain
OB-101,2027-03-14 18:00 CST,118.00,29.0,0.18 ft,0.180,ft,-1.26,1.44,120.70
OB-102,2027-03-14 19:00 CST,121.00,30.0,0.21 ft,0.210,ft,-0.84,1.68,123.52
OB-103,2027-03-14 20:00 CST,123.00,31.0,130 mm,130.000,ft,-0.42,1040.00,1163.42
OB-104,2027-03-14 21:00 CST,126.00,32.0,0.20 ft,0.200,ft,0.00,1.60,127.60
OB-106,2027-03-14 23:00 CST,132.00,34.0,0.23 ft,0.230,ft,0.84,1.84,133.00
OB-107,2027-03-15 00:00 CST,135.00,35.0,95 mm,95.000,ft,1.26,760.00,893.74
OB-108,2027-03-15 01:00 CST,137.00,36.0,0.22 ft,0.220,ft,1.68,1.76,137.08
OB-109,2027-03-15 02:00 CST,140.00,37.0,0.18 ft,0.180,ft,2.10,1.44,139.34
OB-111,2027-03-15 04:00 CST,145.00,39.0,0.20 ft,0.200,ft,2.94,1.60,143.66
OB-112,2027-03-15 05:00 CST,148.00,40.0,0.21 ft,0.210,ft,3.36,1.68,146.32
